,Acousticness,Danceability,Duration_ms,Energy,ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
0,0.131,0.748,188491,0.627,000xQL6tZNLJzIrtIgxqSl,0.0,7,0.0852,-6.029,1,0.0644,120.963,4,0.524
1,0.0822,0.353,193680,0.755,003eoIwxETJujVWmNFMoZy,0.0,1,0.39,-6.276,0,0.733,191.153,4,0.437
2,0.00239,0.588,262347,0.885,004S8bMhFQjnbuqvdh6W71,0.00246,9,0.0862,-6.267,0,0.0654,149.031,4,0.928
3,0.00304,0.619,218747,0.762,007d7JT41sSc1HqWTs4uw7,0.0,0,0.122,-6.738,0,0.0692,122.916,4,0.324
4,0.287,0.62,284856,0.625,00B7TZ0Xawar6NZ00JFomN,0.0,9,0.314,-7.438,1,0.553,167.911,4,0.665
5,0.00587,0.825,220627,0.832,00BuKLSAFkaEkaVAgIMbeA,0.000789,5,0.114,-5.853,0,0.0403,122.021,4,0.713
6,0.461,0.878,286517,0.407,00bWqt93aqLXqKtzZoq7Jw,0.0,7,0.111,-10.941,1,0.233,89.011,4,0.547
7,0.283,0.587,224412,0.62,00c9VpjXk7iHdLEEzrAxbr,0.0,11,0.128,-6.217,1,0.0504,99.926,4,0.143
8,0.00648,0.782,211960,0.566,00DcwM45CMDjGChnoFRQ6y,1.45e-05,1,0.221,-7.498,1,0.257,156.012,4,0.0568
9,0.121,0.694,214867,0.73,00ej6EMKgxW52Ex52CVJbg,0.000555,9,0.146,-10.439,1,0.0309,125.962,4,0.98
10,0.187,0.836,217653,0.799,00EPIEnX1JFjff8sC6bccd,0.0,7,0.092,-4.247,0,0.0873,94.033,4,0.772
11,0.000219,0.636,355200,0.968,00G9AjByuF3sHRtnJQjPa9,0.586,8,0.0853,-3.408,1,0.0596,127.986,4,0.553
12,0.791,0.631,269840,0.432,00GkidEsMWoZraymWS2E7v,0.000788,9,0.121,-8.952,1,0.032,139.936,4,0.584
13,0.0426,0.857,91011,0.56,00gpGR84M27moP7AFuqHIx,0.0,8,0.153,-8.278,1,0.173,94.949,4,0.482
14,3.4e-05,0.517,235861,0.66,00GYNdeBpo0QtByS8MIi9q,0.252,5,0.571,-6.175,0,0.0315,90.007,4,0.0701
15,0.0724,0.629,221893,0.608,00I0pcNkN3IOX3fsYbaB4N,0.0,2,0.0874,-7.247,0,0.0771,103.021,4,0.413
16,0.365,0.307,258933,0.481,00kkWwGsR9HblTUHb3BmdX,0.0,3,0.207,-8.442,0,0.128,68.894,3,0.329
17,0.163,0.876,213947,0.669,00lNx0OcTJrS3MKHcB80HY,0.0,11,0.185,-6.054,0,0.138,124.007,4,0.682
18,0.525,0.603,242972,0.457,00mrTzjxIRuWJY01sRBJmO,0.0,11,0.0905,-5.384,1,0.297,73.724,4,0.458
19,0.0647,0.773,234160,0.465,00myZYBi2sZMbd8IikZgQh,7.58e-06,8,0.106,-8.451,1,0.0956,119.046,4,0.216
20,0.633,0.55,189205,0.297,00o4GuYe2ZbyEtrjqiik58,1.48e-06,3,0.102,-13.394,0,0.0289,91.911,4,0.244
