,Position,Track Name,Artist,URL,date
0,1,Fill Me In - AFTR:HRS Mixcut,Loud Luxury,https://open.spotify.com/track/1Th5b8AsauED9F7pGv8Yxi,2017-01-01
1,2,Freedom! '90,George Michael,https://open.spotify.com/track/1D6nV9TPfMnWm7UdVsDVfI,2017-01-01
2,3,You,Manwolves,https://open.spotify.com/track/6F7CjVIrwk7PddQUsoPmoo,2017-01-01
3,4,Faith - Remastered,George Michael,https://open.spotify.com/track/0HEmnAUT8PHznIAAmVXqFJ,2017-01-01
4,5,Father Figure - Remastered,George Michael,https://open.spotify.com/track/0L0T4tMAaGqLgIVj1MOj9t,2017-01-01
5,6,One More Try - Remastered,George Michael,https://open.spotify.com/track/5932kbyNt445gDTT2chRUS,2017-01-01
6,7,Careless Whisper,George Michael,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY,2017-01-01
7,8,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,https://open.spotify.com/track/1R17cgUv6HeQFa78dzqb7s,2017-01-01
8,9,"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast,https://open.spotify.com/track/5kRBzRZmZTXVg8okC7SJFZ,2017-01-01
9,10,Are You Sure? (feat. Ty Dolla $ign),Kris Kross Amsterdam,https://open.spotify.com/track/0fH86zQcE2CmATQju6WpXv,2017-01-01
10,11,Panther Like a Panther (Miracle Mix) (feat. Trina),Run The Jewels,https://open.spotify.com/track/0URhioon26PogQkIAHCUK4,2017-01-01
11,12,Kissing a Fool - Remastered,George Michael,https://open.spotify.com/track/1sEGwuvScFU2uNzlI7Aepy,2017-01-01
12,13,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",Taron Egerton,https://open.spotify.com/track/0mb7btREdC3wuIUmuVRgWn,2017-01-01
13,14,Turn Me Down,Pellican Child,https://open.spotify.com/track/7xZlxQGgb0rBOPLJkviPCq,2017-01-01
14,15,I Need My Girl,Gnarly Gibbs,https://open.spotify.com/track/2UwKFhUl5fFw3WrT5H0wNP,2017-01-01
15,16,"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack",Emma Stone,https://open.spotify.com/track/6j0wBBAP3hMe4t1Ymj7GIe,2017-01-01
16,17,Careless Whisper,George Michael,https://open.spotify.com/track/6KsgCYcZKPcBRDNGhiZWRR,2017-01-01
17,18,Fades Away,Gavin Haley,https://open.spotify.com/track/57L7zXQGph0TADLSkBM7xd,2017-01-01
18,19,Pretty,Yevin Francisco,https://open.spotify.com/track/2M7anGRRnLoyn80itQPfXY,2017-01-01
19,20,Lights Out (Too Drunk) [feat. Hayla],DJ Katch,https://open.spotify.com/track/5Oh3cW5gnEEKPsHb1WrVWm,2017-01-01
20,21,"OH.MY.GOSH - From ""Sing"" Original Motion Picture Soundtrack",Bunnies,https://open.spotify.com/track/7G2ngpelFIxPCsEodpA8uP,2017-01-01
21,22,I Knew You Were Waiting (For Me),George Michael,https://open.spotify.com/track/0f6pHbsLzpWxl5CfhOUjBA,2017-01-01
22,23,Last Night In Los Feliz,Niia,https://open.spotify.com/track/7t6riHq1ZPPi08qgbuXNaY,2017-01-01
23,24,Shelter,Vandelux,https://open.spotify.com/track/13XPIlyIbYMInO8aN7AEt8,2017-01-01
24,25,HOT DRUM,JOYRYDE,https://open.spotify.com/track/0gcPFlSLjkVqz84RcDhyJk,2017-01-01
25,26,Praying for Time,George Michael,https://open.spotify.com/track/3X94UU9WQAiaw6A2NELO1a,2017-01-01
26,27,Satisfaction,Bay Rays,https://open.spotify.com/track/2a49PgBuO22WcmKaR3qcYJ,2017-01-01
27,28,Everything She Wants,Wham!,https://open.spotify.com/track/5hXEcqQhEjfZdbIZLO8mf2,2017-01-01
28,29,Stay With Me,CHANYEOL,https://open.spotify.com/track/1HYzRuWjmS9LXCkdVHi25K,2017-01-01
29,30,"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6,2017-01-01
30,31,I Want Your Sex - Pts. 1 & 2 Remastered,George Michael,https://open.spotify.com/track/6QnFHieoch6U9J8zfv6hml,2017-01-01
31,32,"Someone In The Crowd - From ""La La Land"" Soundtrack",Emma Stone,https://open.spotify.com/track/39ncDMVidHOeQgeC5anYZM,2017-01-01
32,33,Down (feat. Joi),Run The Jewels,https://open.spotify.com/track/37wue2fDZqVGNccW03p1Sk,2017-01-01
33,34,Hey Kids (Bumaye) (feat. Danny Brown),Run The Jewels,https://open.spotify.com/track/2IHy47dWsTh0FEHBMdfd38,2017-01-01
34,35,Legend Has It,Run The Jewels,https://open.spotify.com/track/5O4meQrvNMz9QmjXXiHnqH,2017-01-01
35,36,Jesus to a Child,George Michael,https://open.spotify.com/track/2SzCxX6M6vDwdEwnHDiTaY,2017-01-01
36,37,Bell's Harmonic,Alan Gogoll,https://open.spotify.com/track/1oFdYrLGbd2a0fxCsWTkkV,2017-01-01
37,38,"Epilogue - From ""La La Land"" Soundtrack",Justin Hurwitz,https://open.spotify.com/track/5jdClu7X0U5TgVr2ObewxS,2017-01-01
38,39,Somebody to Love,George Michael,https://open.spotify.com/track/1kn8Jj0i9IwyO3yDgDyUSR,2017-01-01
39,40,Living Single,Big Sean,https://open.spotify.com/track/36xxq7VDZZsGwARsn6Clo7,2017-01-01
40,41,A Report to the Shareholders / Kill Your Masters,Run The Jewels,https://open.spotify.com/track/7IJnMskjLdZcA1pLcjZ8Ht,2017-01-01
41,42,Equal Powers,Violents,https://open.spotify.com/track/63ligF3uwteTFejkzrhx8F,2017-01-01
42,43,Don't Let The Sun Go Down On Me,Elton John,https://open.spotify.com/track/6YFbJW9ieQHClBf9nFnAd2,2017-01-01
43,44,It's Gotta Be You,Isaiah,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-01-01
44,45,Nuclear Fusion,King Gizzard & The Lizard Wizard,https://open.spotify.com/track/3Qk6YR0ZsjM0judvuDEbnl,2017-01-01
