,Position,Track Name,Artist,Streams,URL,date
0,1,Bad and Boujee (feat. Lil Uzi Vert),Migos,9212016,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01
1,2,Fake Love,Drake,8402709,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01
2,3,Starboy,The Weeknd,7634586,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01
3,4,Closer,The Chainsmokers,6384465,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01
4,5,Black Beatles,Rae Sremmurd,5745384,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01
5,6,Caroline,Aminé,4992851,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g,2017-01-01
6,7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4874178,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01
7,8,Bounce Back,Big Sean,4818172,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,2017-01-01
8,9,Bad Things (with Camila Cabello),Machine Gun Kelly,4805096,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01
9,10,I Feel It Coming,The Weeknd,4586635,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01
10,11,Broccoli (feat. Lil Yachty),DRAM,4558327,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,2017-01-01
11,12,Let Me Love You,DJ Snake,4152387,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01
12,13,One Dance,Drake,4042672,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01
13,14,24K Magic,Bruno Mars,3828278,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01
14,15,Don't Wanna Know,Maroon 5,3797163,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01
15,16,Deja Vu,J. Cole,3777536,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,2017-01-01
16,17,X (feat. Future),21 Savage,3751877,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2017-01-01
17,18,Starving,Hailee Steinfeld,3465749,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01
18,19,Chill Bill,Rob $tone,3464585,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,2017-01-01
19,20,In the Name of Love,Martin Garrix,3432821,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01
20,21,Say You Won't Let Go,James Arthur,3358134,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01
21,22,Party Monster,The Weeknd,3341933,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,2017-01-01
22,23,No Heart,21 Savage,3265130,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,2017-01-01
23,24,Side To Side,Ariana Grande,3222416,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01
24,25,Sneakin’,Drake,3046339,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,2017-01-01
25,26,Heathens,Twenty One Pilots,3019029,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01
26,27,OOOUUU,Young M.A,2954985,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL,2017-01-01
27,28,iSpy (feat. Lil Yachty),KYLE,2951309,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,2017-01-01
28,29,All We Know,The Chainsmokers,2838884,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01
29,30,You Was Right,Lil Uzi Vert,2803226,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,2017-01-01
30,31,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,2762137,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,2017-01-01
31,32,"How Far I'll Go - From ""Moana""",Alessia Cara,2747443,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-01
32,33,Scars To Your Beautiful,Alessia Cara,2713743,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-01
33,34,Mercy,Shawn Mendes,2703580,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01
34,35,Call On Me - Ryan Riback Extended Remix,Starley,2659113,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01
35,36,Love Me Now,John Legend,2556359,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-01
36,37,Neighbors,J. Cole,2554091,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,2017-01-01
37,38,Too Good,Drake,2502428,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,2017-01-01
38,39,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2493998,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01
39,40,Swang,Rae Sremmurd,2424161,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,2017-01-01
40,41,Controlla,Drake,2423349,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,2017-01-01
41,42,Six Feet Under,The Weeknd,2419147,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,2017-01-01
42,43,Don't Let Me Down,The Chainsmokers,2402845,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01
43,44,pick up the phone,Young Thug,2385552,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,2017-01-01
44,45,Needed Me,Rihanna,2372277,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,2017-01-01
45,46,Just Hold On,Steve Aoki,2366651,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01
46,47,Treat You Better,Shawn Mendes,2340498,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01
47,48,Sidewalks,The Weeknd,2321664,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,2017-01-01
48,49,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2272394,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01
49,50,Immortal,J. Cole,2194654,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl,2017-01-01
50,51,Redbone,Childish Gambino,2175894,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,2017-01-01
51,52,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2102278,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-01
52,53,All Time Low,Jon Bellion,2073078,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-01-01
53,54,Panda,Desiigner,2064963,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2017-01-01
54,55,Some Kind Of Drug,G-Eazy,2007331,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,2017-01-01
